date,cefalea OR dolor de cabeza-count,hipertensión -count,enfermedades de base-count,enfermedades cardiovascular...-count,insuficiencia renal-count,cáncer -count,VIH-count,tuberculosis -count,EPOC OR enfermedad pulmonar...-count,asma-count,insuficiencia cardíaca -count,arritmias cardíacas-count,enfermedad cerebrovascular-count,accidente cerebrovascular O...-count,síndrome de down-count,fibrosis-count,artritis-count,vasculitis-count,cefalea OR dolor de cabeza-total_count,hipertensión -total_count,enfermedades de base-total_count,enfermedades cardiovascular...-total_count,insuficiencia renal-total_count,cáncer -total_count,VIH-total_count,tuberculosis -total_count,EPOC OR enfermedad pulmonar...-total_count,asma-total_count,insuficiencia cardíaca -total_count,arritmias cardíacas-total_count,enfermedad cerebrovascular-total_count,accidente cerebrovascular O...-total_count,síndrome de down-total_count,fibrosis-total_count,artritis-total_count,vasculitis-total_count,cefalea OR dolor de cabeza-ratio,hipertensión -ratio,enfermedades de base-ratio,enfermedades cardiovascular...-ratio,insuficiencia renal-ratio,cáncer -ratio,VIH-ratio,tuberculosis -ratio,EPOC OR enfermedad pulmonar...-ratio,asma-ratio,insuficiencia cardíaca -ratio,arritmias cardíacas-ratio,enfermedad cerebrovascular-ratio,accidente cerebrovascular O...-ratio,síndrome de down-ratio,fibrosis-ratio,artritis-ratio,vasculitis-ratio
"2021-01-30","1866","0","1866","54","6","16","9","8","97","4","6","1","88","39","1866","0","2","0","2213","2213","2213","2213","2213","2213","2213","2213","2213","2213","2213","2213","2213","2213","2213","2213","2213","2213","0.8431992769995481","0","0.8431992769995481","0.024401265250790782","0.0027112516945323093","0.0072300045187528245","0.004066877541798464","0.0036150022593764122","0.043831902394939","0.0018075011296882061","0.0027112516945323093","0.00045187528242205153","0.03976502485314053","0.01762313601446001","0.8431992769995481","0","0.0009037505648441031","0"
"2021-01-31","310","0","310","7","0","1","0","2","10","0","1","0","9","2","310","0","0","0","318","318","318","318","318","318","318","318","318","318","318","318","318","318","318","318","318","318","0.9748427672955975","0","0.9748427672955975","0.0220125786163522","0","0.0031446540880503146","0","0.006289308176100629","0.031446540880503145","0","0.0031446540880503146","0","0.02830188679245283","0.006289308176100629","0.9748427672955975","0","0","0"
"2021-02-01","2303","4","2303","53","6","33","3","8","101","2","4","5","93","55","2303","1","0","0","2451","2451","2451","2451","2451","2451","2451","2451","2451","2451","2451","2451","2451","2451","2451","2451","2451","2451","0.9396164830681355","0.0016319869441044472","0.9396164830681355","0.021623827009383926","0.0024479804161566705","0.01346389228886169","0.0012239902080783353","0.0032639738882088943","0.041207670338637294","0.0008159934720522236","0.0016319869441044472","0.002039983680130559","0.037943696450428395","0.022439820481436147","0.9396164830681355","0.0004079967360261118","0","0"
"2021-02-02","4027","5","4027","86","14","50","9","4","247","3","11","2","228","51","4029","2","1","0","4654","4654","4654","4654","4654","4654","4654","4654","4654","4654","4654","4654","4654","4654","4654","4654","4654","4654","0.865277180919639","0.0010743446497636442","0.865277180919639","0.01847872797593468","0.0030081650193382035","0.010743446497636441","0.0019338203695745595","0.0008594757198109154","0.05307262569832402","0.0006446067898581865","0.002363558229480017","0.0004297378599054577","0.048990116029222174","0.01095831542758917","0.8657069187795445","0.0004297378599054577","0.00021486892995272884","0"
"2021-02-03","4162","3","4162","85","16","48","3","3","235","5","12","2","217","48","4164","0","2","0","4845","4845","4845","4845","4845","4845","4845","4845","4845","4845","4845","4845","4845","4845","4845","4845","4845","4845","0.859029927760578","0.0006191950464396285","0.859029927760578","0.017543859649122806","0.003302373581011352","0.009907120743034056","0.0006191950464396285","0.0006191950464396285","0.048503611971104234","0.0010319917440660474","0.002476780185758514","0.000412796697626419","0.04478844169246646","0.009907120743034056","0.8594427244582044","0","0.000412796697626419","0"
"2021-02-04","3782","8","3785","101","13","96","2","3","219","6","13","1","208","56","3784","0","2","0","4484","4484","4484","4484","4484","4484","4484","4484","4484","4484","4484","4484","4484","4484","4484","4484","4484","4484","0.843443354148082","0.001784121320249777","0.8441123996431757","0.022524531668153436","0.0028991971454058875","0.021409455842997322","0.00044603033006244426","0.0006690454950936663","0.048840321141837645","0.0013380909901873326","0.0028991971454058875","0.00022301516503122213","0.0463871543264942","0.012488849241748439","0.8438893844781445","0","0.00044603033006244426","0"
"2021-02-05","3681","7","3683","75","18","37","14","5","220","4","9","1","219","68","3684","0","2","0","4320","4320","4320","4320","4320","4320","4320","4320","4320","4320","4320","4320","4320","4320","4320","4320","4320","4320","0.8520833333333333","0.0016203703703703703","0.8525462962962963","0.017361111111111112","0.004166666666666667","0.008564814814814815","0.0032407407407407406","0.0011574074074074073","0.05092592592592592","0.000925925925925926","0.0020833333333333333","0.0002314814814814815","0.050694444444444445","0.01574074074074074","0.8527777777777777","0","0.000462962962962963","0"
"2021-02-06","2567","0","2567","54","9","28","2","1","123","1","4","2","110","49","2568","2","0","0","2989","2989","2989","2989","2989","2989","2989","2989","2989","2989","2989","2989","2989","2989","2989","2989","2989","2989","0.8588156574105051","0","0.8588156574105051","0.018066242890598862","0.003011040481766477","0.00936768149882904","0.0006691201070592171","0.00033456005352960856","0.04115088658414185","0.00033456005352960856","0.0013382402141184342","0.0006691201070592171","0.03680160588825694","0.01639344262295082","0.8591502174640347","0.0006691201070592171","0","0"
"2021-02-07","2485","4","2485","61","7","27","6","0","147","1","2","3","140","51","2485","2","0","0","2912","2912","2912","2912","2912","2912","2912","2912","2912","2912","2912","2912","2912","2912","2912","2912","2912","2912","0.8533653846153846","0.0013736263736263737","0.8533653846153846","0.020947802197802196","0.002403846153846154","0.009271978021978022","0.0020604395604395605","0","0.05048076923076923","0.00034340659340659343","0.0006868131868131869","0.0010302197802197802","0.04807692307692308","0.017513736263736264","0.8533653846153846","0.0006868131868131869","0","0"
"2021-02-08","3755","4","3757","75","10","31","4","5","231","1","11","3","214","90","3760","0","0","0","4410","4410","4410","4410","4410","4410","4410","4410","4410","4410","4410","4410","4410","4410","4410","4410","4410","4410","0.8514739229024944","0.0009070294784580499","0.8519274376417234","0.017006802721088437","0.0022675736961451248","0.007029478458049887","0.0009070294784580499","0.0011337868480725624","0.05238095238095238","0.00022675736961451248","0.002494331065759637","0.0006802721088435374","0.04852607709750567","0.02040816326530612","0.8526077097505669","0","0","0"
