date,vacunas-count,efectos secundarios vacuna ...-count,trombos-count,trombosis-count,pfizer-count,moderna-count,astrazeneca-count,jhonson & jhonson janssen-count,sinovac-count,sinopharm-count,zydus-count,gamaleya-count,vacunas-total_count,efectos secundarios vacuna ...-total_count,trombos-total_count,trombosis-total_count,pfizer-total_count,moderna-total_count,astrazeneca-total_count,jhonson & jhonson janssen-total_count,sinovac-total_count,sinopharm-total_count,zydus-total_count,gamaleya-total_count,vacunas-ratio,efectos secundarios vacuna ...-ratio,trombos-ratio,trombosis-ratio,pfizer-ratio,moderna-ratio,astrazeneca-ratio,jhonson & jhonson janssen-ratio,sinovac-ratio,sinopharm-ratio,zydus-ratio,gamaleya-ratio
"2021-02-06","173","742","0","0","67","39","57","9","58","20","0","3","2989","2989","2989","2989","2989","2989","2989","2989","2989","2989","2989","2989","0.057878889260622284","0.24824355971896955","0","0","0.022415523586483774","0.013047842087654735","0.01906992305118769","0.003011040481766477","0.019404483104717297","0.006691201070592171","0","0.0010036801605888257"
"2021-02-07","146","674","0","1","37","20","56","1","19","13","0","1","2912","2912","2912","2912","2912","2912","2912","2912","2912","2912","2912","2912","0.05013736263736264","0.23145604395604397","0","0.00034340659340659343","0.012706043956043956","0.006868131868131868","0.019230769230769232","0.00034340659340659343","0.006524725274725275","0.004464285714285714","0","0.00034340659340659343"
"2021-02-08","246","1140","0","0","92","51","110","5","26","25","0","2","4410","4410","4410","4410","4410","4410","4410","4410","4410","4410","4410","4410","0.055782312925170066","0.2585034013605442","0","0","0.020861678004535148","0.011564625850340135","0.024943310657596373","0.0011337868480725624","0.0058956916099773245","0.005668934240362812","0","0.00045351473922902497"
"2021-02-09","292","1182","1","1","97","60","94","4","30","29","1","9","4714","4714","4714","4714","4714","4714","4714","4714","4714","4714","4714","4714","0.06194314806957998","0.25074246924056004","0.00021213406873143826","0.00021213406873143826","0.020577004666949512","0.012728044123886296","0.019940602460755196","0.0008485362749257531","0.006364022061943148","0.00615188799321171","0.00021213406873143826","0.0019092066185829445"
"2021-02-10","303","1197","0","0","103","68","138","8","29","26","0","9","4905","4905","4905","4905","4905","4905","4905","4905","4905","4905","4905","4905","0.0617737003058104","0.24403669724770644","0","0","0.020998980632008155","0.013863404689092763","0.028134556574923548","0.0016309887869520897","0.005912334352701326","0.005300713557594291","0","0.001834862385321101"
"2021-02-11","345","1175","1","1","119","73","93","11","47","17","0","4","4899","4899","4899","4899","4899","4899","4899","4899","4899","4899","4899","4899","0.07042253521126761","0.23984486629924473","0.00020412329046744235","0.00020412329046744235","0.024290671565625636","0.01490100020412329","0.018983466013472138","0.0022453561951418658","0.00959379465196979","0.00347009593794652","0","0.0008164931618697694"
"2021-02-12","285","1025","0","0","100","38","80","11","33","25","0","2","4357","4357","4357","4357","4357","4357","4357","4357","4357","4357","4357","4357","0.06541198072067937","0.23525361487261878","0","0","0.022951572182694516","0.008721597429423916","0.018361257746155612","0.0025246729400963965","0.00757401882028919","0.005737893045673629","0","0.0004590314436538903"
"2021-02-13","172","689","0","1","61","34","67","5","22","22","0","8","2963","2963","2963","2963","2963","2963","2963","2963","2963","2963","2963","2963","0.0580492743840702","0.23253459331758353","0","0.0003374957813027337","0.020587242659466758","0.011474856564292946","0.022612217347283158","0.0016874789065136687","0.007424907188660142","0.007424907188660142","0","0.0026999662504218697"
"2021-02-14","185","702","0","0","77","23","43","1","11","14","0","2","3106","3106","3106","3106","3106","3106","3106","3106","3106","3106","3106","3106","0.05956213779781069","0.22601416613007083","0","0","0.024790727623953637","0.007405022537025113","0.013844172569220863","0.0003219575016097875","0.0035415325177076628","0.004507405022537025","0","0.000643915003219575"
"2021-02-15","610","1300","0","0","316","65","158","30","96","56","0","3","4359","4359","4359","4359","4359","4359","4359","4359","4359","4359","4359","4359","0.13994035329203947","0.29823353980270706","0","0","0.0724936912135811","0.014911676990135353","0.03624684560679055","0.006882312456985547","0.02202339986235375","0.012846983253039687","0","0.0006882312456985547"
"2021-02-16","561","1314","0","0","249","51","109","25","111","36","0","4","4477","4477","4477","4477","4477","4477","4477","4477","4477","4477","4477","4477","0.12530712530712532","0.29350011168192985","0","0","0.05561760107214653","0.0113915568461023","0.024346660710297074","0.005584096493187403","0.024793388429752067","0.008041098950189859","0","0.0008934554389099843"
"2021-02-17","619","1401","0","3","262","94","136","13","72","15","0","6","4739","4739","4739","4739","4739","4739","4739","4739","4739","4739","4739","4739","0.1306182738974467","0.29563198987128086","0","0.0006330449461911796","0.05528592530069635","0.019835408313990294","0.028698037560666807","0.002743194766828445","0.01519307870858831","0.0031652247309558977","0","0.0012660898923823592"
"2021-02-18","512","1354","0","1","205","57","52","7","46","11","0","3","4778","4778","4778","4778","4778","4778","4778","4778","4778","4778","4778","4778","0.10715780661364588","0.2833821682712432","0","0.0002092925910422771","0.042904981163666804","0.011929677689409795","0.010883214734198409","0.0014650481372959396","0.009627459187944746","0.0023022185014650483","0","0.0006278777731268313"
